name,cid
84227,84227
522597,522597
2734054,2734054
13218084,13218084
61929,61929
69218,69218
92818,92818
102454,102454
137856,137856
554365,554365
68035,68035
28961,28961
31300,31300
69022,69022
87130,87130
108610,108610
138570,138570
265654,265654
559366,559366
12211273,12211273
90498,90498
295978,295978
12644026,12644026
102832,102832
179349,179349
542686,542686
2733418,2733418
3055170,3055170
6993464,6993464
46318349,46318349
13463446,13463446
20669,20669
136489,136489
6451464,6451464
92137,92137
5325485,5325485
101882,101882
9567750,9567750
12545136,12545136
19820467,19820467
80260,80260
136129,136129
141675,141675
263077,263077
282741,282741
317680,317680
12998568,12998568
14454757,14454757
11652,11652
38328,38328
74213,74213
136833,136833
11253,11253
138930,138930
542763,542763
9577004,9577004
15687700,15687700
93058,93058
15752574,15752574
141161,141161
10878409,10878409
11483316,11483316
16212162,16212162
68181,68181
98735,98735
521913,521913
34178635,34178635
140404,140404
76396,76396
79060,79060
150876,150876
641811,641811
2733353,2733353
6420096,6420096
136358,136358
151861,151861
418247,418247
2723902,2723902
2780866,2780866
3017760,3017760
10987172,10987172
10986449,10986449
15110479,15110479
67347,67347
12203661,12203661
13398828,13398828
35602,35602
102921,102921
123421,123421
123480,123480
314284,314284
2723974,2723974
15621627,15621627
14040,14040
72885,72885
78539,78539
78985,78985
6451463,6451463
12484479,12484479
18356484,18356484
18223,18223
77304,77304
137238,137238
140876,140876
3032483,3032483
12544552,12544552
13111845,13111845
283379,283379
6427444,6427444
76396,76396
519219,519219
167574,167574
53976399,53976399
69937,69937
79084,79084
548390,548390
10441885,10441885
11041028,11041028
12482116,12482116
12442631,12442631
12261,12261
138168,138168
12203661,12203661
5365949,5365949
73904,73904
77142,77142
84150,84150
155072,155072
92738,92738
78969,78969
138188,138188
3481477,3481477
32759,32759
138559,138559
165347,165347
3080609,3080609
13709961,13709961
11708047,11708047
13299938,13299938
22495069,22495069
137751,137751
141464,141464
146413,146413
123122,123122
138389,138389
79115,79115
349252,349252
450349,450349
2724851,2724851
12196067,12196067
141934,141934
2734132,2734132
100435,100435
111091,111091
134414,134414
140172,140172
149201,149201
203244,203244
4461877,4461877
10953554,10953554
129655464,129655464
136444,136444
136781,136781
140408,140408
294551,294551
11848709,11848709
24653,24653
118742,118742
136445,136445
12216213,12216213
16637058,16637058
12669,12669
136711,136711
138673,138673
139776,139776
544812,544812
12583653,12583653
12916881,12916881
23681129,23681129
10003,10003
121148,121148
139664,139664
255279,255279
305835,305835
520960,520960
543860,543860
4147387,4147387
6369390,6369390
11815823,11815823
12265499,12265499
16212395,16212395
18324766,18324766
73704,73704
107143,107143
136167,136167
137540,137540
520225,520225
11217598,11217598
2997,2997
118742,118742
255279,255279
305835,305835
11848709,11848709
24653,24653
136445,136445
12216213,12216213
12669,12669
136711,136711
139776,139776
544812,544812
12583653,12583653
12916881,12916881
10003,10003
121148,121148
139664,139664
255279,255279
305835,305835
520960,520960
543860,543860
4147387,4147387
6369390,6369390
11815823,11815823
12265499,12265499
16212395,16212395
18324766,18324766
73704,73704
107143,107143
136167,136167
137540,137540
520225,520225
11217598,11217598
2997,2997
118742,118742
255279,255279
305835,305835
11848709,11848709
24653,24653
136445,136445
138673,138673
139776,139776
544812,544812
29398,29398
95770,95770
120511,120511
139101,139101
6994471,6994471
10866248,10866248
16682934,16682934
2769366,2769366
6521662,6521662
12197850,12197850
29837,29837
30486,30486
111033,111033
11275417,11275417
12053198,12053198
16212984,16212984
101838,101838
138168,138168
2778993,2778993
11051569,11051569
21863291,21863291
38756,38756
262834,262834
520554,520554
12591132,12591132
16213391,16213391
24200453,24200453
18176,18176
416793,416793
520929,520929
89580,89580
152925,152925
2723765,2723765
2723992,2723992
6992799,6992799
10057460,10057460
9624,9624
9855,9855
12014,12014
137718,137718
137814,137814
137969,137969
156360,156360
518713,518713
13283755,13283755
136586,136586
142407,142407
519125,519125
2724689,2724689
93290,93290
542706,542706
102873,102873
3036568,3036568
12400791,12400791
107853,107853
